Image Name,Item,price,status,category,Description,Disclaimer
biscoff.png,Homemade Biscoff Biscuit,2,active,cookie,"Spicy, crunchy, buttery cookies with the right amount of sweets.  These spice cookies are from Belgium and are now popular all over the world thanks to Delta airlines.",
butter-cookies-dipped-in-chocolate.png,Butter Cookie,2,active,cookie,,
canberry-oatmeal-cookie.png,Oatmeal with Cranberries Cookie,2,active,cookie,"Dotted with cranberries  These are colorful, healthy and fun.",
cream-cheese-cookies.png,Cream Cheese Cookie,2,active,cookie,Cream Cheese Cookie,
double-chocolate-paw-print.png,Double Chocolate Cookies,2,active,cookie,"German baking chocolate is a type of sweetened chocolate for baking made from sugar, cocoa butter.  Invented by Samuel German, employee of the Baker’s Chocolate company.  It contains NO Dairy.  It’s the chocolate that gives both German Chocolate cake and cookies their fudgy flavor.  Duplicating the signature frosting which contains pecan and coconut in these cookies. ",
german-chocolate-cookies.png,German Chocolate Cake Cookies with Pecans       ,2,active,cookie,"These German chocolate cookies mix cocoa, coconut, pecans, and chocolate chunks for a rich flavor. Despite the name, German chocolate comes from its creator, a baker—not the country.",
grinch-special-sugar-cookie.png,Grinch Special Sugar Cookie,2,active,cookie,Grinch Special Sugar Cookie,
lamond-chocolate-chip-cookie.png,Lamond Chocolate Chip Cookie,2,active,cookie,Lamond Chocolate Chip Cookie,
lemon-burst-cookies.png,Lemon Burst cookie   ,2,active,cookie,"Lemon Burst Cookies are filled with vibrant citrus flavor. These soft, flaky treats are guaranteed to satisfy your cravings!",
mexican-hot-chocolate.png,Mexican Hot Chocolate Cookie,2,active,cookie,"A moist and tender cookie with that rolled in cinnamon sugar, then sprinted with more cinnamon fresh out of the oven.  Also called Chocolate Snickerdoodles.  Perfect chocolate & cinnamon combo.",
peanut-butter-chocolate-chip.png,Peanut Butter with Chocolate Chips,2,active,cookie,Peanut Butter Chocolate Chip Cookies are the best of both worlds: peanut butter cookies mixed with chocolate chip! They’re soft and chewy and everyone loves them.,
peanut-butter-cookie.png,Peanut Butter Cookie    ,2,active,cookie,Monster size or mini bites this  peanut butter,
short-bread-cookie.png,Shortbread Cookie,2,active,cookie,Scottish shortbread cookies are prefect for any occasion.  Their light buttery flavor has been enjoyed for centuries.  ,Rumor has it this version is better than �walker�s.
snickerdoodles.png,Snickerdoodles        ,2,active,cookie,"Traditional Snickerdoodles feature a soft and chewy texture, complemented by a coating of cinnamon sugar, resulting in a consistently enjoyable and timeless treat.",
sugar-cookies-rolled-in-sugar.png,Sugar Cookies rolled in Sugar,2,active,cookie,Soft and chewy Christmas sugar cookies ,
,Chocolate Chip,2,active,cookie,,
,Russian Tea Cakes Cookie,2,active,cookie,,
,Sprintz,2,active,cookie,,
,Sugar Cookies with glaze icing,2,active,cookie,"Buttery Sugar cookie formed into shapes, covered with powder sugar icing",
mexican-wedding-cake-with-pecans.png,Mexican Wedding Cake with Pecans ,2,active,cookie,"Mexican Wedding Cookies, also known as Snowball Cookies or Russian Tea Cookies, are buttery pecan treats coated in confectioners’ sugar for a sweet, balanced flavor.  ",
banana-cake.png,Banana Cake,4,inactive,cake,Banana cake,
chocolate-cakesicle.png,Chocolate cakesicle,2,inactive,treat,,
girl-pretzels-rods.png,Pretzels,2,inactive,treat,Pretzel,
pound-cake.png,Cookie butter pound cake,4,inactive,cake,Pound Cake,
,German Chocolate Cake Cookie,2,inactive,cookie,"German baking chocolate is a type of sweetened chocolate for baking made from sugar, cocoa butter.  Invented by Samuel German, employee of the Baker’s Chocolate company.  It contains NO Dairy.  It’s the chocolate that gives both German Chocolate cake and cookies their fudgy flavor.  Duplicating the signature frosting which contains pecan and coconut in these cookies. ",
,Applesauce Cake with Cinnamon Crunch topping,4,inactive,cake,,
,Banana Cakesicle,2,inactive,treat,Banana Cakesicle,
,Black Velvet Cake,4,inactive,cake,,
,Carrot Cake with ermine frosting,4,inactive,cake,,"Sorry, Cottage Food proclaimed that this can’t use cream cheese frosting as it would then need to be refrigerated"
,Chocolate Chips,2,inactive,cookie,"These 3-inch cookies feature a chewy center with semi-sweet and milk chocolate chips, and the recipe has won multiple blue ribbons.",
,Chocolate Sandwich,2,inactive,cookie,"Chocolate sandwich cookies feature two fudgy double chocolate cookies filled with marshmallow frosting, reminiscent of homemade Oreos.",
,Cream Wafer Sandwich,2,inactive,cookie,"Mildly sweet with a subtle buttery note. Light, flaky, and melt-in-your-mouth.  These small sandwich cookies have chocolate cream filling or bright colored buttercream. ",
